0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Appendant ID,Package name,Billing Category,Com Category,OCS Name,Location, Price to customer  , Deducted Amount from wallet , Profit ,Short Code,Validity,Data Rating Group,Rounding Data,Onnet Mins,All Nets Mins,SMS,MBs,FACEBOOK(MB),WHATSAPP(MB),BONUS SMS,SOCIAL (MB),ILD  Sec,"Tigo -Tigo
(On net Wallet)","Mitandao Yote
(All net Wallet)","SMS 
(SMS Wallet)","Intaneti
(MBs Wallet)",FACEBOOK Wallet,WHATSAPP Wallet,Bonus SMS Wallet,BONUS MB's Wallet,SOCIAL Wallet,Kimataifa (ILD Wallet),USSD Flash Notifications,,Activation Notifications 100,
3310028,KabangNdefu_POS2,ALL NETS,ALL NETS,KabangNdefu_Rusha2000,"North, South, Lake, ROC","  2,000 ","  1,900 ",  100 ,*148*08#,180 days,N/A,N/A,10,30,100,20,0,0,0,0,0,5233,5240,5259,5249,N/A,N/A,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3310027,KabangNdefu_POS1,ALL NETS,Segmented,KabangNdefu_Rusha1000,"North, South, Lake, ROC","  1,000 ",  950 ,  50 ,*148*08#,7 days,N/A,N/A,0,20,50,10,0,0,0,0,0,N/A,5238,5256,5247,N/A,N/A,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3033047,day_megabox,DATA,Data Only,70MB  For 500 Tshs,All zones,  500 ,  450 ,  50 ,*148*08#,24 hrs,N/A,256Kb,0,0,0,70,0,0,0,0,0,N/A,N/A,N/A,5062,N/A,N/A,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3033036,month_unlimited,DATA,Data Only,"5GB  for 25,000 Tshs ",All zones,"  25,000 ","  22,500 ","  2,500 ",*148*08#,30 days,N/A,512Kb,0,0,0,5120,0,0,0,0,0,N/A,N/A,N/A,5069,N/A,N/A,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3033035,week_unlimited,DATA,Data Only,"2GB  For 8,000 Tshs",All zones,"  8,000 ","  7,200 ",  800 ,*148*08#,7 days,N/A,256Kb,0,0,0,2048,0,0,0,0,0,N/A,N/A,N/A,5066,N/A,N/A,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3033034,day_unlimited,DATA,Data Only,200MB  For 1000 Tshs,All zones,"  1,000 ",  900 ,  100 ,*148*08#,24 hrs,N/A,256Kb,0,0,0,200,0,0,0,0,0,N/A,N/A,N/A,5064,N/A,N/A,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3023075,1GBfor2000,DATA,Data Only,1GB for 2000 Tshs,All zones,"  2,000 ","  1,900 ",  100 ,*148*08#,24 hrs,N/A,256Kb,0,0,0,1024,0,0,0,0,0,N/A,N/A,N/A,5046,N/A,N/A,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3023070,Dk135_Halichachi_EVC,ALL NETS,ON NET,Dk135_Halichachi_EVC,Coast,"  5,000 ","  4,800 ",  200 ,*148*08#,180 days,N/A,N/A,125,10,100,25,0,0,0,0,0,5233,5240,5259,5249,N/A,N/A,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3023069,Dk12_Halichachi_EVC,ALL NETS,ALL NETS,Dk12_Halichachi_EVC,Coast,"  1,000 ",  950 ,  50 ,*148*08#,180 days,N/A,N/A,2,10,50,5,0,0,0,0,0,5233,5240,5259,5249,N/A,N/A,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3023068,Dk25_Halichachi_EVC,ALL NETS,ON NET,Dk25_Halichachi_EVC,Coast,"  1,000 ",  950 ,  50 ,*148*08#,180 days,N/A,N/A,23,2,50,5,0,0,0,0,0,5233,5240,5259,5249,N/A,N/A,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3023024,Kabang9999_Rusha,ALL NETS,ALL NETS,Kabang9999-EVC,All Zones ,"  9,999 ","  9,800 ",  199 ,*148*08#,30 days,N/A,N/A,5,125,1000,50,1024,1024,0,0,0,5232,5239,5257,5248,5088,5075,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3023023,Xtreme9999_Rusha,ALL NETS,ON NET,Xtreme9999-EVC,All Zones ,"  9,999 ","  9,800 ",  199 ,*148*08#,30 days,N/A,N/A,280,20,1000,50,1024,1024,0,0,0,5232,5239,5257,5248,5088,5075,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
3023022,Kabang_1999_Rusha,ALL NETS,ALL NETS,Kabang1999-EVC,All Zones ,"  1,999 ","  1,950 ",  49 ,*148*08#,7 days,N/A,N/A,8,22,200,10,300,500,0,0,0,5231,5238,5256,5247,5088,5075,N/A,N/A,N/A,N/A,"Ndugu Mteja, ombi lako linashughulikiwa. Utapokea Ujumbe mfupi hivi punde. Furahia huduma za Tigo!","Dear Customer, your request is being processed. You will receive a confirmation SMS shortly. Enjoy Tigo services!","Ndugu Mteja, kifurushi chako kimeunganishwa kikamilifu.","Dear Customer, your package has been activated successfully."
